Артикул;Название;Цвет;Категория;Описание;Состав;Размер;Цена;Изображение;Основной цвет;Коллекция;Группа;Тема;Название акции;Скидка
0791/46/101;Сукня “Лілі”;біла;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-101.jpg,0791.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/48/101;Сукня “Лілі”;біла;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-101.jpg,0791.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/50/101;Сукня “Лілі”;біла;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-101.jpg,0791.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/42/403;Сукня “Лілі”;коричнева;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-403.jpg,0791-403-2.jpg;*****;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/44/403;Сукня “Лілі”;коричнева;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-403.jpg,0791-403-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/46/403;Сукня “Лілі”;коричнева;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-403.jpg,0791-403-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/48/403;Сукня “Лілі”;коричнева;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-403.jpg,0791-403-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/50/403;Сукня “Лілі”;коричнева;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-403.jpg,0791-403-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/42/753;Сукня “Лілі”;бірюзова;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-753.jpg,0791-753-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/44/753;Сукня “Лілі”;бірюзова;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-753.jpg,0791-753-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
