Артикул;Категория;Название акции;Цена;Дата начала;Дата окончания
0813/58/1385;;Знижка;990;;
0813/42/690;;Знижка;990;;
0813/44/690;;Знижка;990;;
0813/46/690;;Знижка;990;;
0813/48/690;;Знижка;990;;
0813/50/690;;Знижка;990;;
0813/52/690;;Знижка;990;;
0813/54/690;;Знижка;990;;
0813/56/690;;Знижка;990;;
0813/58/690;;Знижка;990;;
9692/42/101;;Знижка;690;;
9692/44/101;;Знижка;690;;
9692/46/101;;Знижка;690;;
9692/48/101;;Знижка;690;;
9692/50/101;;Знижка;690;;
9692/52/101;;Знижка;690;;
9692/54/101;;Знижка;690;;
9814/44/101;;Знижка;1190;;
9814/46/101;;Знижка;1190;;
9814/48/101;;Знижка;1190;;
9814/50/101;;Знижка;1190;;
9814/52/101;;Знижка;1190;;
9814/54/101;;Знижка;1190;;
9814/58/101;;Знижка;1190;;
9814/44/1367;;Знижка;1190;;
9814/46/1367;;Знижка;1190;;
9814/48/1367;;Знижка;1190;;
9814/50/1367;;Знижка;1190;;
9814/52/1367;;Знижка;1190;;
9814/54/1367;;Знижка;1190;;
9814/56/1367;;Знижка;1190;;
9814/58/1367;;Знижка;1190;;
9814/44/101-1;;Знижка;1190;;
9814/46/101-1;;Знижка;1190;;
9814/48/101-1;;Знижка;1190;;
9814/50/101-1;;Знижка;1190;;
9814/52/101-1;;Знижка;1190;;
9814/54/101-1;;Знижка;1190;;
9814/56/101-1;;Знижка;1190;;
9814/58/101-1;;Знижка;1190;;
9814/44/753;;Знижка;1190;;
9814/46/753;;Знижка;1190;;
9814/48/753;;Знижка;1190;;
9814/50/753;;Знижка;1190;;
9814/52/753;;Знижка;1190;;
9814/54/753;;Знижка;1190;;
9814/56/753;;Знижка;1190;;
9814/58/753;;Знижка;1190;;
5764/44/602;;Знижка;790;;
5764/46/602;;Знижка;790;;
5764/48/602;;Знижка;790;;
5764/50/602;;Знижка;790;;
5764/52/602;;Знижка;790;;
5764/54/602;;Знижка;790;;
5764/56/602;;Знижка;790;;
5764/44/1192;;Знижка;790;;
5764/46/1192;;Знижка;790;;
5764/48/1192;;Знижка;790;;
5764/50/1192;;Знижка;790;;
5764/52/1192;;Знижка;790;;
5764/54/1192;;Знижка;790;;
5764/56/1192;;Знижка;790;;
5764/44/488;;Знижка;790;;
5764/46/488;;Знижка;790;;
5764/48/488;;Знижка;790;;
5764/50/488;;Знижка;790;;
5764/52/488;;Знижка;790;;
5764/54/488;;Знижка;790;;
5764/56/488;;Знижка;790;;
5764/44/744;;Знижка;790;;
5764/46/744;;Знижка;790;;
5764/48/744;;Знижка;790;;
5764/50/744;;Знижка;790;;
5764/52/744;;Знижка;790;;
5764/54/744;;Знижка;790;;
5764/56/744;;Знижка;790;;
5764/44/999;;Знижка;790;;
5764/46/999;;Знижка;790;;
5764/48/999;;Знижка;790;;
5764/50/999;;Знижка;790;;
5764/52/999;;Знижка;790;;
5764/54/999;;Знижка;790;;
5764/56/999;;Знижка;790;;
5774/42/101;;Знижка;1190;;
5774/44/101;;Знижка;1190;;
5774/46/101;;Знижка;1190;;
5774/48/101;;Знижка;1190;;
5774/50/101;;Знижка;1190;;
5774/52/101;;Знижка;1190;;
5774/54/101;;Знижка;1190;;
5774/56/101;;Знижка;1190;;
5774/42/1128;;Знижка;1190;;
5774/44/1128;;Знижка;1190;;
5774/46/1128;;Знижка;1190;;
5774/48/1128;;Знижка;1190;;
5774/50/1128;;Знижка;1190;;
5774/52/1128;;Знижка;1190;;
5774/54/1128;;Знижка;1190;;
5774/56/1128;;Знижка;1190;;
5774/42/1192;;Знижка;1190;;
5774/44/1192;;Знижка;1190;;
5774/46/1192;;Знижка;1190;;
5774/48/1192;;Знижка;1190;;
5774/50/1192;;Знижка;1190;;
5774/52/1192;;Знижка;1190;;
5774/54/1192;;Знижка;1190;;
5774/56/1192;;Знижка;1190;;
5774/42/999;;Знижка;1190;;
5774/44/999;;Знижка;1190;;
5774/46/999;;Знижка;1190;;
5774/48/999;;Знижка;1190;;
5774/50/999;;Знижка;1190;;
5774/52/999;;Знижка;1190;;
5774/54/999;;Знижка;1190;;
5774/56/999;;Знижка;1190;;
5774/42/488;;Знижка;1190;;
5774/44/488;;Знижка;1190;;
5774/46/488;;Знижка;1190;;
5774/48/488;;Знижка;1190;;
5774/50/488;;Знижка;1190;;
5774/52/488;;Знижка;1190;;
5774/54/488;;Знижка;1190;;
5774/56/488;;Знижка;1190;;
9830/40/101;;Знижка;790;;
9830/42/101;;Знижка;790;;
9830/44/101;;Знижка;790;;
9830/46/101;;Знижка;790;;
9830/48/101;;Знижка;790;;
9830/50/101;;Знижка;790;;
0829/42/1367;;Знижка;990;;
0829/44/1367;;Знижка;990;;
0829/46/1367;;Знижка;990;;
0829/48/1367;;Знижка;990;;
0829/50/1367;;Знижка;990;;
0829/52/1367;;Знижка;990;;
0829/54/1367;;Знижка;990;;
0829/42/163;;Знижка;990;;
0829/44/163;;Знижка;990;;
0829/46/163;;Знижка;990;;
0829/48/163;;Знижка;990;;
0829/50/163;;Знижка;990;;
0829/52/163;;Знижка;990;;
0829/54/163;;Знижка;990;;
0829/42/61;;Знижка;990;;
0829/44/61;;Знижка;990;;
0829/46/61;;Знижка;990;;
0829/48/61;;Знижка;990;;
0829/50/61;;Знижка;990;;
0829/52/61;;Знижка;990;;
0829/54/61;;Знижка;990;;
0827/40/1128;;Знижка;1100;;
0827/42/1128;;Знижка;1100;;
0827/44/1128;;Знижка;1100;;
0827/46/1128;;Знижка;1100;;
0827/48/1128;;Знижка;1100;;
0827/50/1128;;Знижка;1100;;
0827/40/1180;;Знижка;1100;;
0827/42/1180;;Знижка;1100;;
0827/44/1180;;Знижка;1100;;
0827/46/1180;;Знижка;1100;;
0827/48/1180;;Знижка;1100;;
0827/50/1180;;Знижка;1100;;
0827/40/1279;;Знижка;1100;;
0827/42/1279;;Знижка;1100;;
0827/44/1279;;Знижка;1100;;
0827/46/1279;;Знижка;1100;;
0827/48/1279;;Знижка;1100;;
0827/50/1279;;Знижка;1100;;
