Артикул;Название;Категория;Описание;Состав;Размер;Цена;Изображение;Группа;Тема;Название акции;Скидка
94-92/000/033/78;Комплект постельного белья "Марсэль" серый ,(варёный);Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья "Марсэль" серый ,(варёный);100% лен;Простирадло-220*240 см, 2 підковдри -145*217см ,2 наволочки -50*70см;4490;94-91-000-033-78.jpg,p1180351.jpg;;;;
95-83/01к/000/07;Комплект постельного белья полуторный, белый с белым кружевом;Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья полуторный, белый с белым кружевом;100% лен;Прост. 150х217 см, підков. 145х217 см,2 навол. 50Х71 см;1990;95-83_01k_000_07.jpg;;Прованс;;
95-83/01к/010/78;Комплект постельного белья полуторный, серый с серым кружевом;Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья полуторный, серый с серым кружевом;100% лен;Прост. 150х217 см, підков. 145х217 см,2 навол. 50Х71 см;1990;95-83_01k_010_78.jpg;;Прованс;;
94-91/400/033/78;Комплект постельного белья "Дижон" синий ,(варёный);Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья "Дижон" синий ,(варёный);100% лен;Простирадло-220*240 см, підковдра-200*220см ,2 наволочки -50*70см;4400;94-91-400-033-78.jpg;;;;
83-10/302/033/88;Полотенце банное “Ракушка” ;Домашний текстиль/Для кухни/Полотенца;Полотенце банное “Ракушка” ;100% лен;70х135 см;359;83-10-302-033-88.JPG;;;;
10-00/006/000/76;Фартук “Оливка” ;Домашний текстиль/Для кухни/Фартуки;Фартук “Оливка” ;100% лен;;219;P1190667.JPG;;Кантрі;;
10-00/200/000/76;Фартук “Гортензия”;Домашний текстиль/Для кухни/Фартуки;Фартук “Гортензия”;100% лен;;219;P1190666.JPG,P1190668.JPG;;Кантрі;;
82-04/200/000/76;Полотенце “Гортензия”;Домашний текстиль/Для кухни/Полотенца;Полотенце “Гортензия”;100% лен;40х65 см;89;82-04-200-000-76.JPG,P1190685.JPG,P1190686.JPG;;Кантрі;;
82-04/006/000/76;Полотенце  “Оливка”;Домашний текстиль/Для кухни/Полотенца;Полотенце  “Оливка”;100% лен;40х65 см;89;82-04-006-000-76.JPG;;Кантрі;;
12-10/202/000/18;Дорожка “Степная птица” , белая;Домашний текстиль/Для кухни/Полотенца;Дорожка “Степная птица” , белая;100% лен;40х140 см;269;12-10-202-000-18.JPG;;Степова птаха;;
22-24/202/010/03;Скатерть “Степная птица” , серая;Домашний текстиль/Для кухни/Скатерти;Скатерть “Степная птица” , серая;100% лен;155х220 см;860;22-24-202-010-03.JPG;;Степова птаха;;
82-04/208/000/76;Полотенце коллекция “Птицы” Синичка;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Птицы” Синичка;100% лен;45х65 см;99;82-04-208-000-76.JPG;;Птахи;;
82-04/209/000/76;Полотенце коллекция “Птицы” Аист;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Птицы” Аист;100% лен;45х65 см;99;82-04-209-000-76.JPG;;Птахи;;
82-04/210/000/76;Полотенце коллекция “Птицы” Сойка;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Птицы” Сойка;100% лен;45х65 см;99;82-04-210-000-76.JPG;;Птахи;;
82-04/230/000/76;Полотенце коллекция “Гурман” Десерт;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Гурман” Десерт;100% лен;45х75 см;129;P1200245.JPG;;Прованс;;
82-04/231/000/76;Полотенце коллекция “Гурман” Дары моря;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Гурман” Дары моря;100% лен;45х75 см;129;P1200248.JPG;;Прованс;;
82-04/245/000/76;Полотенце коллекция “Гурман” Ланч;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Гурман” Ланч;100% лен;45х75 см;129;P1200244.JPG;;Прованс;;
12-10/236/016/76;Дорожка “Букет.Ирисы” розовая;Домашний текстиль/Для кухни/Полотенца;Дорожка “Букет.Ирисы” розовая;100% лен;48х140 см;390;P1200581.JPG;;;;
12-10/236/584/76;Дорожка “Букет.Ирисы” молочная;Домашний текстиль/Для кухни/Полотенца;Дорожка “Букет.Ирисы” молочная;100% лен;48х140 см;390;P1200240.JPG;;;;
12-10/236/930/76;Дорожка “Букет.Ирисы” коричневая;Домашний текстиль/Для кухни/Полотенца;Дорожка “Букет.Ирисы” коричневая;100% лен;48х140 см;390;P1200238.JPG;;;;
25-21/236/265/76;Скатерть с кружевом и вышивкой “Букет.Ирисы”,круглая, бордо;Домашний текстиль/Для кухни/Скатерти;Скатерть с кружевом и вышивкой “Букет.Ирисы”,круглая, бордо;100% лен;150х150 см;890;25-21-236-265.JPG;;;;
25-21/236/372/76;Скатерть с кружевом и вышивкой “Букет.Ирисы”,круглая, зеленая;Домашний текстиль/Для кухни/Скатерти;Скатерть с кружевом и вышивкой “Букет.Ирисы”,круглая, зеленая;100% лен;150х150 см;890;25-21-372.JPG;;;;
25-21/236/930/76;Скатерть с кружевом и вышивкой “Букет.Ирисы”,круглая,коричневая;Домашний текстиль/Для кухни/Скатерти;Скатерть с кружевом и вышивкой “Букет.Ирисы”,круглая,коричневая;100% лен;150х150 см;890;25-21-930.JPG;;;;
25-30/236/265/76;Скатерть с кружевом и вышивкой “Букет.Ирисы”, овальная, бордо;Домашний текстиль/Для кухни/Скатерти;Скатерть с кружевом и вышивкой “Букет.Ирисы”, овальная, бордо;100% лен;150х250 см;1190;25-30-236-265.JPG;;;;
25-30/236/372/76;Скатерть с кружевом и вышивкой “Букет.Ирисы”, овальная, зеленая;Домашний текстиль/Для кухни/Скатерти;Скатерть с кружевом и вышивкой “Букет.Ирисы”, овальная, зеленая;100% лен;150х250 см;1190;25-30-372.JPG;;;;
25-30/236/930/76;Скатерть с кружевом и вышивкой “Букет.Ирисы”, овальная ,коричневая;Домашний текстиль/Для кухни/Скатерти;Скатерть с кружевом и вышивкой “Букет.Ирисы”, овальная ,коричневая;100% лен;150х250 см;1190;25-30-930.JPG;;;;
82-17/254/000/76;Полотенце “Совы”;Домашний текстиль/Для кухни/Полотенца;Полотенце “Совы”;100% лен;36х60 см;99;P1200281.JPG;;;;
82-17/257/000/76;Полотенце “Собачка”;Домашний текстиль/Для кухни/Полотенца;Полотенце “Собачка”;100% лен;36х60 см;99;P1200280.JPG;;;;
10-00/257/000/76;Фартук “Собачка” малый;Домашний текстиль/Для кухни/Фартуки;Фартук “Собачка” малый;100% лен;;169;P1200279.JPG;;;;
10-00/257/001/76;Фартук “Собачка” ;Домашний текстиль/Для кухни/Фартуки;Фартук “Собачка” ;100% лен;;249;P1200283.JPG;;;;
10-00/254/001/76;Фартук “Совы” малый;Домашний текстиль/Для кухни/Фартуки;Фартук “Совы” малый;100% лен;;169;P1200277.JPG;;;;
10-00/254/000/76;Фартук “Совы” ;Домашний текстиль/Для кухни/Фартуки;Фартук “Совы” ;100% лен;;249;P1200282.JPG;;;;
42-42/246/884/76;Комплект подарочный с вышивкой “Созвездие” салатовый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный с вышивкой “Созвездие” салатовый;100% лен;Скатертина 140х240 см - 1шт., сети 30х40 см - 6 шт.;1990;42-42-246-884-76.JPG;;;;
42-42/246/957/76;Комплект подарочный с вышивкой “Созвездие” кофейный;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный с вышивкой “Созвездие” кофейный;100% лен;Скатертина 140х240 см - 1шт., сети 30х40 см - 6 шт.;1990;42-42-246-957-76.JPG;;;;
10-00/162/000/76;Фартук “Сад”;Домашний текстиль/Для кухни/Фартуки;Фартук “Сад”;100% лен;;249;P1200308.JPG;;;;
42-42/274/372/76;Комплект подарочный “Настурция” зеленый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Настурция” зеленый;100% лен;140х220 см, 120х120 см, 6 серв. 35Х35 см;1290;42-42-274-372-76.JPG;;;;
42-42/274/690/76;Комплект подарочный “Настурция” оранжевый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Настурция” оранжевый;100% лен;140х220 см, 120х120 см, 6 серв. 35Х35 см;1290;42-42-274-690-76.JPG;;;;
42-52/274/372/76;Комплект подарочный “Настурция” зеленый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Настурция” зеленый;100% лен;140х280 см, 120х120 см, 8 серв. 35Х35 см;1490;42-42-274-372-76.JPG;;;;
42-52/274/690/76;Комплект подарочный “Настурция” оранжевый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Настурция” оранжевый;100% лен;140х280 см, 120х120 см, 8 серв. 35Х35 см;1490;42-42-274-690-76.JPG;;;;
40-00/274/000/76;Комплект подарочный “Настурция” ;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Настурция” ;100% лен;Цукерниця 35х35 см - 1 шт., серветки 35х35 см – 4 шт. ;369;40-00-274-000-76.JPG;;;;
42-18/297/000/76;Комплект подарочный “Бархатцы” серый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Бархатцы” серый;100% лен;Столешня 60х110 см - 1 шт., серветки 35х35 см - 4 шт.;490;P1200637.JPG;;;;
42-18/297/101/76;Комплект подарочный “Бархатцы” белый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Бархатцы” белый;100% лен;Столешня 60х110 см - 1 шт., серветки 35х35 см - 4 шт.;490;P1200638.JPG;;;;
