Артикул;Название;Категория;Описание;Состав;Размер;Цена;Изображение;Группа;Тема;Название акции;Скидка
42-45/162/010/03;Комплект столовий "Гортензія";Домашній текстиль/Для кухні/Комплекти;Комплект столовий з вишивкою "Гортензія",сірий;100% льон;Скатертина 140х280 см - 1шт., серветки 35х35 см - 8 шт.;1290;42-31-162-010-03.jpg;8 березня;Квіти;;
60-71/000/000/04;Підковдра полуторна біла;Домашній текстиль/Для спальні/Підковдри;Підковдра полуторна біла;100% льон;145х217 см;890;60-71_000_000_04.jpg;;;;
70-62/000/000/04;Простирадло полуторне біле;Домашній текстиль/Для спальні/Простирадла;Простирадло полуторне біле;100% льон;150х217 см;490;70-62_000_000_04.jpg;;;;
70-64/000/000/70;Простирадло подвійне біле ;Домашній текстиль/Для спальні/Простирадла;Простирадло подвійне біле ;100% льон;220х240 см;890;70-64_000_000_70.jpg;;;;
70-64/000/010/78;Простирадло подвійне кольорове;Домашній текстиль/Для спальні/Простирадла;Простирадло подвійне кольорове;100% льон;220х240 см;890;70-64_000_010_78.jpg;;;;
80-04/02к/200/76;Рушник помаранчевий з мереживом;Домашній текстиль/Для кухні/Рушники;Рушник помаранчевий з мереживом;100% льон;45х70 см;139;80-04_02k_200_76.jpg;Кухонний текстиль;Прованс;;
80-25/000/000/04;Рушник з лоскуту;Домашній текстиль/Для кухні/Рушники;Рушник з лоскуту;100% бавовна;45х90 см;19;80-25_000_000_04.jpg;Кухонний текстиль;;;
82-04/041/000/76;Рушник “Калина”;Домашній текстиль/Для кухні/Рушники;Рушник з вишивкою “Калина”, білий;100% льон;35х90 см;199;82-04-041-000-76.jpg;Національна традиція;Калина;;
82-04/117/000/76;Рушник “Лілія”;Домашній текстиль/Для кухні/Рушники;Рушник з вишивкою “Лілія”, білий;100% льон;35х90 см;199;82-04-117-000-76.jpg;Національна традиція;Лілія;;
82-04/160/000/76;Рушник “Ліс";Домашній текстиль/Для кухні/Рушники;Рушник з вишивкою “Ліс” сірий;100% льон;45х65 см;119;82-04-160-000-76.jpg;Кухонний текстиль;Хелсі фуд;;
82-04/161/000/76;Рушник "Город";Домашній текстиль/Для кухні/Рушники;Рушник з вишивкою "Город" сірий;100% льон;45х65 см;119;82-04-161-000-76.jpg;Кухонний текстиль;Хелсі фуд;;
82-04/162/000/76;Рушник "Сад";Домашній текстиль/Для кухні/Рушники;Рушник з вишивкою "Сад" сірий;100% льон;45х65 см;119;82-04-162-000-76.jpg;Кухонний текстиль;Хелсі фуд;;
82-05/090/000/76;Рушник з вишивкою "Обрядовий";Домашній текстиль/Для кухні/Рушники;Рушник з вишивкою "Обрядовий";100% льон;40х120 см;249;82_05_090_000-76.jpg;Обрядовий текстиль;Маки;;
